"ZTrafego,C,15","Pop_IBGE,N,6,0","Dom_IBGE,N,6,0","Macrozona,C,20","Nome_ZT,C,50","Pop_OD,N,6,0","Dom_OD,N,6,0","Perc_Pop,N,6,2","Perc_Dom,N,6,2","Area_km2,N,9,2","X_Centroid,N,11,4","Y_Centroid,N,12,4","Pop_Area,N,8,2"
48,8744,2780,Extremo Norte,Sao Francisco Xavier e ?rea Rural,183,63,2.09,2.27,638.96,399518.4249,7454023.3308,13.68
49,1063,307,Leste,Jardim Diamante e REVAP,244,69,22.95,22.48,4.08,413057.4406,7434697.6885,260.54
5,5472,1802,Centro,Vila Piratininga e Jardim Augusta,228,86,4.17,4.77,1.24,409907.6366,7434523.5875,4412.90
50,0,0,Leste,Vazio urbano,0,0,0.00,0.00,4.03,415797.4658,7432454.0618,0.00
51,2771,808,Leste,Santa Cecilia e Jardim Helena,190,59,6.86,7.30,7.44,417813.7219,7430572.3234,372.45
52,203,58,Oeste,Paratehy e Residencial Jaguary,0,0,0.00,0.00,13.61,403530.5700,7435820.3659,14.92
53,615,176,Extremo Norte,Chacara Fazenda Caete,40,11,6.50,6.25,7.91,403600.4091,7439819.5489,77.75
54,3755,1059,Norte,Aguas de Caninde e Chacara Havai,201,71,5.35,6.70,39.00,411823.0976,7442227.8361,96.28
55,414,121,Extremo Norte,Chacara Pedra D'agua II,0,0,0.00,0.00,17.64,412225.8806,7445559.4638,23.47
6,11995,4787,Centro,Vila Adyanna e Vila Betania,175,70,1.46,1.46,1.49,408695.5550,7433703.6873,8050.34
7,14796,5375,Centro,Vila Ema e Jardim Esplanada,280,106,1.89,1.97,2.59,407677.6487,7434086.4910,5712.74
8,17425,5562,Norte,Santana e Vila Rossi,287,89,1.65,1.60,3.72,408074.3514,7437897.7528,4684.14
9,21544,7041,Leste,Vila Industrial e VilaTatetuba,312,96,1.45,1.36,2.97,412280.5934,7436207.4348,7253.87
18,14206,4133,Leste,Vila Tesouro e Jardim Universo,218,86,1.53,2.08,4.28,414674.2386,7437495.2172,3319.16
